LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C6961,Amplifiers,FET InputAmplifiers,TL072CDT,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Basic,"2.5mA 16 V/us 2 4MHz J-FET 6V ~ 36V, 亇3V ~ 18V SOIC-8_150mil  FET InputAmplifiers ROHS",https://datasheet.lcsc.com/lcsc/1809051915_STMicroelectronics-TL072CDT--_C6961.pdf,"1-9:0.222153846,10-29:0.186615385,30-99:0.171384615,100-499:0.156215385,500-999:0.146000000,1000-1999:0.140000000,2000-3999:0.138461538,4000-:0.137384615",117183
C7377,Amplifiers,Operational Amplifier,MCP6002T-I/SN,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Basic,0.6 V/us 2 1MHz 1.8V ~ 6V 100兪A General Purpose SOIC-8_150mil  Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1811081213_Microchip-Tech-MCP6002T-I-SN--_C7377.pdf,"1-9:0.290769231,10-29:0.236923077,30-99:0.210769231,100-499:0.190769231,500-999:0.183076923,4000-:0.175384615,2000-3999:0.175384615,1000-1999:0.178461538",42431
C7426,Amplifiers,Operational Amplifier,NE5532DR,SOIC-8_3.9x4.9x1.27P,8,Texas Instruments,Basic,9 V/us 2 10MHz 亇5V ~ 15V 8mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS,http://www.ti.com/cn/lit/gpn/ne5532,"1-9:0.286307692,10-29:0.233384615,30-99:0.210769231,100-499:0.188000000,500-999:0.172923077,1000-:0.163892308",54777
C7433,Amplifiers,Precision OpAmps,OP07CDR,SOIC-8_3.9x4.9x1.27P,8,Texas Instruments,Basic,600kHz 1 亇3V ~ 18V 0.3 V/us General Purpose SOIC-8_150mil  Precision OpAmps ROHS,http://www.ti.com/cn/lit/gpn/op07c,"1-9:0.304615385,10-29:0.244615385,30-99:0.215384615,100-499:0.193846154,500-999:0.184615385,1000-:0.180000000",24154
C7950,Amplifiers,Operational Amplifier,LM358DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"0.6 V/us 2 1MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1811100911_onsemi-LM358DR2G-_C7950.pdf,"1-9:0.118307692,10-29:0.096461538,30-99:0.085846154,500-999:0.074615385,100-499:0.077846154,1000-:0.072769231",589041
C7955,Amplifiers,Comparators,LM393DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"2V~36V,亇1V~18V CMOS, DTL, ECL, MOS, Open-Collector, TTL 2.5mA 2 SOIC-8_150mil  Comparators ROHS",https://datasheet.lcsc.com/lcsc/1809171611_onsemi-LM393DR2G_C7955.pdf,"1-9:0.126307692,10-29:0.103692308,30-99:0.094000000,100-499:0.084307692,500-999:0.077846154,2000-3999:0.072923077,4000-:0.072307692,1000-1999:0.073846154",25578
C7972,Amplifiers,Operational Amplifier,LMV321IDBVR,SOT-23-5,5,Texas Instruments,Basic,"1 V/us 1 1MHz 2.7V ~ 5.5V, 亇1.35V ~ 2.75V 130兪A General Purpose SOT-23-5  Operational Amplifier ROHS",http://www.ti.com/cn/lit/gpn/lmv321,"10-90:0.180307692,100-290:0.126461538,300-990:0.115692308,1000-4990:0.104000000,5000-9990:0.097692308,10000-:0.095076923",51468
C18229,Amplifiers,Operational Amplifier,LM2904DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"0.6 V/us 2 1MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1811012110_onsemi-LM2904DR2G_C18229.pdf,"1-9:0.164046154,10-29:0.134769231,30-99:0.122153846,100-499:0.109692308,500-999:0.101230769,1000-1999:0.096307692,2000-3999:0.094923077,4000-:0.094153846",15542
C71035,Amplifiers,Operational Amplifier,LM324DT,SOIC-14_3.9x8.7x1.27P,14,STMicroelectronics,Basic,"0.4 V/us 4 1.3MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-14_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1809051220_STMicroelectronics-LM324DT_C71035.pdf,"1-9:0.130000000,10-29:0.104769231,30-99:0.092461538,100-499:0.083076923,500-999:0.079538462,1000-1999:0.077384615,2000-3999:0.076615385,4000-:0.076000000",91080
C1523,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B102K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 1nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1809291524_FH-Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,"20-180:0.000935385,200-580:0.000763077,600-1980:0.000636923,2000-9980:0.000533846,10000-19980:0.000516923,20000-:0.000507692",216510
C1525,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL05B104KO5NNNC,402,2,Samsung Electro-Mechanics,Basic,16V 100nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf,"20-180:0.000930769,200-580:0.000710769,600-1980:0.000603077,2000-9980:0.000543077,10000-19980:0.000493846,20000-:0.000475385",33826120
C1527,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B151K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 150pF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810302110_FH-Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf,"200-580:0.000886154,2000-9980:0.000615385,20000-:0.000584615,10000-19980:0.000595385,20-180:0.001090769,600-1980:0.000738462",59740
C1530,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B221K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 220pF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811151132_FH-Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf,"10000-19980:0.000516923,20-180:0.000936923,200-580:0.000763077,2000-9980:0.000533846,20000-:0.000507692,600-1980:0.000638462",672114
C1531,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B222K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 2.2nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531.pdf,"10000-19980:0.000532308,20-180:0.000970769,600-1980:0.000658462,200-580:0.000790769,2000-9980:0.000550769,20000-:0.000523077",367991
C1532,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B223K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 22nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402B223K500NT_C1532.pdf,"10000-19980:0.001553846,200-580:0.002307692,2000-9980:0.001769231,20-180:0.003000000,600-1980:0.001938462,20000-:0.001480000",148533
C1537,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B471K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 470pF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402B471K500NT_C1537.pdf,"20-180:0.000953846,600-1980:0.000643077,200-580:0.000773846,2000-9980:0.000535385,20000-:0.000507692,10000-19980:0.000516923",159029
C1538,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B472K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 4.7nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811031110_FH-Guangdong-Fenghua-Advanced-Tech-0402B472K500NT_C1538.pdf,"20-180:0.000935385,600-1980:0.000636923,10000-19980:0.000516923,200-580:0.000763077,2000-9980:0.000533846,20000-:0.000507692",638409
C1542,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B682K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 6.8nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402B682K500NT_C1542.pdf,"20-180:0.000989231,600-1980:0.000675385,200-580:0.000807692,2000-9980:0.000566154,20000-:0.000538462,10000-19980:0.000547692",91844
C1546,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG101J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 100pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810151218_FH-Guangdong-Fenghua-Advanced-Tech-0402CG101J500NT_C1546.pdf,"20-180:0.000903077,600-1980:0.000606154,10000-19980:0.000486154,200-580:0.000730769,2000-9980:0.000503077,20000-:0.000476923",863349
C1547,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG120J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 12pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf,"10000-19980:0.000516923,200-580:0.000766154,2000-9980:0.000533846,20000-:0.000507692,20-180:0.000943077,600-1980:0.000640000",979058
C1548,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG150J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 15pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810111610_FH-Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.pdf,"20-180:0.000887692,200-580:0.000683077,600-1980:0.000575385,2000-9980:0.000526154,10000-19980:0.000460000,20000-:0.000438462",468146
C1549,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG180J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 18pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141814_FH-Guangdong-Fenghua-Advanced-Tech-0402CG180J500NT_C1549.pdf,"10000-19980:0.000486154,200-580:0.000730769,2000-9980:0.000503077,20-180:0.000901538,600-1980:0.000606154,20000-:0.000476923",410458
C1550,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG1R0C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 1pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG1R0C500NT_C1550.pdf,"20-180:0.001104615,200-580:0.000900000,10000-19980:0.000610769,600-1980:0.000752308,2000-9980:0.000630769,20000-:0.000600000",2816264
C1552,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG1R5C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 1.5pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811151132_FH-Guangdong-Fenghua-Advanced-Tech-0402CG1R5C500NT_C1552.pdf,"10000-19980:0.000595385,20-180:0.001087692,600-1980:0.000736923,20000-:0.000584615,200-580:0.000884615,2000-9980:0.000615385",216061
C1554,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG200J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 20pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf,"20-180:0.001276923,200-580:0.001040000,600-1980:0.000869231,2000-9980:0.000729231,10000-19980:0.000704615,20000-:0.000692308",3384631
C1555,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG220J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 22pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG220J500NT_C1555.pdf,"20-180:0.000960000,600-1980:0.000655385,200-580:0.000783077,2000-9980:0.000550769,20000-:0.000523077,10000-19980:0.000532308",723018
C1557,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG270J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 27pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG270J500NT_C1557.pdf,"20-180:0.000990769,200-580:0.000807692,600-1980:0.000675385,2000-9980:0.000566154,10000-19980:0.000547692,20000-:0.000538462",314789
C1559,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG2R2C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 2.2pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141843_FH-Guangdong-Fenghua-Advanced-Tech-0402CG2R2C500NT_C1559.pdf,"20-180:0.001113846,200-580:0.000906154,2000-9980:0.000632308,20000-:0.000600000,600-1980:0.000755385,10000-19980:0.000610769",88762
C1561,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG2R7C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 2.7pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG2R7C500NT_C1561.pdf,"20-180:0.001090769,600-1980:0.000738462,200-580:0.000886154,2000-9980:0.000615385,20000-:0.000584615,10000-19980:0.000595385",200937
C1562,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG330J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 33pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141731_FH-Guangdong-Fenghua-Advanced-Tech-0402CG330J500NT_C1562.pdf,"20-180:0.000996923,200-580:0.000810769,600-1980:0.000676923,2000-9980:0.000566154,10000-19980:0.000547692,20000-:0.000538462",381440
C1565,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG3R3C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 3.3pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG3R3C500NT_C1565.pdf,"20-180:0.001113846,200-580:0.000906154,600-1980:0.000755385,2000-9980:0.000632308,10000-19980:0.000610769,20000-:0.000600000",42137
C1567,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG470J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 47pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811151132_FH-Guangdong-Fenghua-Advanced-Tech-0402CG470J500NT_C1567.pdf,"200-580:0.000766154,2000-9980:0.000535385,10000-19980:0.000516923,20-180:0.000941538,600-1980:0.000638462,20000-:0.000507692",823358
C1569,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG4R7C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 4.7pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG4R7C500NT_C1569.pdf,"20-180:0.001132308,200-580:0.000924615,600-1980:0.000772308,2000-9980:0.000647692,10000-19980:0.000626154,20000-:0.000615385",413177
C1570,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG300J500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 30pF C0G 亇5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG300J500NT_C1570.pdf,"10000-19980:0.000563077,200-580:0.000863077,2000-9980:0.000650769,20000-:0.000533846,20-180:0.001138462,600-1980:0.000716923",153847
C1576,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG6R8C500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 6.8pF C0G 亇0.25pF 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141710_FH-Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf,"10000-19980:0.000595385,20-180:0.001086154,600-1980:0.000736923,200-580:0.000884615,2000-9980:0.000615385,20000-:0.000584615",25941
C1585,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402F333M500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,Y5V 亇20% 33nF 50V 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811141711_FH-Guangdong-Fenghua-Advanced-Tech-0402F333M500NT_C1585.pdf,"20-180:0.002615385,200-580:0.002076923,600-1980:0.001800000,2000-9980:0.001661538,10000-19980:0.001495385,20000-:0.001436923",50226
C1588,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B102KB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 1nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811071810_Samsung-Electro-Mechanics-CL10B102KB8NNNC_C1588.pdf,"20-180:0.002815385,200-580:0.002153846,600-1980:0.001800000,2000-9980:0.001646154,10000-19980:0.001432308,20000-:0.001360000",7764573
C1594,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B151K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 150pF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061810_FH-Guangdong-Fenghua-Advanced-Tech-0603B151K500NT_C1594.pdf,"20-180:0.002723077,200-580:0.002215385,600-1980:0.001846154,2000-9980:0.001538462,10000-19980:0.001487692,20000-:0.001461538",178369
C1595,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B152K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 1.5nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061810_FH-Guangdong-Fenghua-Advanced-Tech-0603B152K500NT_C1595.pdf,"200-580:0.002307692,2000-9980:0.001600000,10000-19980:0.001553846,20-180:0.002830769,600-1980:0.001923077,20000-:0.001523077",3444003
C1596,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B153K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 15nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061810_FH-Guangdong-Fenghua-Advanced-Tech-0603B153K500NT_C1596.pdf,"10000-19980:0.002600000,20-180:0.004784615,600-1980:0.003230769,20000-:0.002553846,200-580:0.003876923,2000-9980:0.002692308",48184
C1600,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B201K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 200pF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061810_FH-Guangdong-Fenghua-Advanced-Tech-0603B201K500NT_C1600.pdf,"20-180:0.003461538,600-1980:0.002338462,20000-:0.001861538,10000-19980:0.001892308,200-580:0.002815385,2000-9980:0.001953846",41777
C1603,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B221KB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 220pF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261515_Samsung-Electro-Mechanics-CL10B221KB8NNNC_C1603.pdf,"20-180:0.005107692,200-580:0.004307692,600-1980:0.003861538,2000-9980:0.003600000,10000-19980:0.003369231,20000-:0.003246154",272356
C1604,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B222K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 2.2nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810301614_FH-Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf,"20-180:0.002507692,600-1980:0.001707692,200-580:0.002046154,2000-9980:0.001424615,20000-:0.001353846,10000-19980:0.001376923",87663
C1609,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B272K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 2.7nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811151136_FH-Guangdong-Fenghua-Advanced-Tech-0603B272K500NT_C1609.pdf,"10000-19980:0.001393846,20-180:0.002538462,200-580:0.002061538,600-1980:0.001723077,2000-9980:0.001441538,20000-:0.001369231",12509
C1613,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B332KB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 3.3nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10B332KB8NNNC_C1613.pdf,"20-180:0.005384615,200-580:0.004446154,600-1980:0.003923077,2000-9980:0.003600000,10000-19980:0.003338462,20000-:0.003184615",119607
C1615,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B334K250NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,25V 330nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061811_FH-Guangdong-Fenghua-Advanced-Tech-0603B334K250NT_C1615.pdf,"200-580:0.008676923,2000-9980:0.006661538,20-180:0.010923077,600-1980:0.007415385,20000-:0.005661538,10000-19980:0.006015385",45084
C1620,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B471K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 470pF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810302011_FH-Guangdong-Fenghua-Advanced-Tech-0603B471K500NT_C1620.pdf,"200-580:0.002200000,2000-9980:0.001553846,10000-19980:0.001501538,20-180:0.002692308,600-1980:0.001846154,20000-:0.001476923",611823
C1622,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B473KB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 47nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261614_Samsung-Electro-Mechanics-CL10B473KB8NNNC_C1622.pdf,"200-580:0.003092308,2000-9980:0.002153846,20000-:0.002046154,20-180:0.003784615,600-1980:0.002569231,10000-19980:0.002076923",532846
C1623,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B474KA8NNNC,603,2,Samsung Electro-Mechanics,Basic,25V 470nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10B474KA8NNNC_C1623.pdf,"20-180:0.006661538,200-580:0.005353846,600-1980:0.004615385,2000-9980:0.004169231,10000-19980:0.003800000,20000-:0.003584615",712771
C1630,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B681K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 680pF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061822_FH-Guangdong-Fenghua-Advanced-Tech-0603B681K500NT_C1630.pdf,"10000-19980:0.001518462,200-580:0.002261538,2000-9980:0.001569231,20-180:0.002784615,600-1980:0.001876923,20000-:0.001492308",186227
C1631,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B682K500NT,603,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 6.8nF X7R 亇10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811061811_FH-Guangdong-Fenghua-Advanced-Tech-0603B682K500NT_C1631.pdf,"600-1980:0.001753846,20-180:0.002584615,200-580:0.002107692,2000-9980:0.001473846,20000-:0.001400000,10000-19980:0.001424615",245768
C1634,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10C100JB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 10pF C0G 亇5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf,"20-180:0.004353846,200-580:0.003523077,600-1980:0.003061538,2000-9980:0.002784615,10000-19980:0.002538462,20000-:0.002415385",280808
C1644,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10C150JB8NNNC,603,2,Samsung Electro-Mechanics,Basic,50V 15pF C0G 亇5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810261515_Samsung-Electro-Mechanics-CL10C150JB8NNNC_C1644.pdf,"20-180:0.005215385,200-580:0.004323077,600-1980:0.003676923,2000-9980:0.003138462,10000-19980:0.003046154,20000-:0.003000000",227285
